sentence,sentiment
hồng siêu yêu,positive
gói_hàng cẩn_thận giao_hàng nhanh,positive
tuyệt chất_lượng giao_hàng nhanh,positive
sản_phẩm chính_hãng,positive
shipper uy_tín chuyên_nghiệp hướng_dẫn rõ_ràng,positive
hài_lòng chuẩn giao_hàng nhanh hình tính_chất,positive
giao_hàng hẹn chất_lượng tốt,positive
hồng cưng,positive
sản_phẩm nguyên_vẹn đóng_gói kỹ,positive
thiết_kế mượt tuyệt_đẹp khó lựa chất_lượng camera ấn_tượng phân_giải_màn_hình tuyệt_vời,positive
giao_hàng nhanh_chóng,positive
vật_liệu chất_lượng cao,positive
xinh_xắn nhẹ,positive
chất_lượng camera tượng thiết_kế mượt phân_giải_màn_hình tuyệt_vời,positive
tính_năng đột_phá yêu cổng usbc chất_lượng camera ấn_tượng,positive
giao_hàng nhanh uy_tín tem lazada hàng chất giao nhanh tốt,positive
điện_thoại giao_hàng lâu,positive
đóng_gói cẩn_thận,positive
hàng_nguyên_tem lazada,positive
điện_thoại đắt điện_tử,negative
xem camera,negative
gói_hàng cẩn_thận giao nhanh,positive
lượng chất_lượng tốt,positive
xinh đỉnh giao_hàng nhanh,positive
tốt hàng_chính_hãng,positive
đẹp lazada giao nhanh uy_tín giá tốt,positive
hàng_chính_hãng chất_lượng giao_hàng nhanh,positive
nguyên_kiện_hàng mới giao_hàng chính hãngtặng camera,positive
tính_năng đột_phá yêu cổng usbc phân_giải_màn_hình tuyệt_vời,positive
tuổi_thọ pin lâu_dài,positive
chất_liệu hồng chất_lượng chính_hãng không tính_năng chụp hình đẹp giao_hàng nhanh_chóng,positive
gói_hàng cẩn_thận đệm_mút dày hàng_không móp,positive
tem niêm_phong lazada chuẩn hàng lâu giao nhanh shipper nhiệt_tình giao mưa_gió,positive
tuyệt_đẹp khó lựa thiết_kế mượt chất_lượng camera ấn_tượng,positive
giao_hàng nhanh_chóng,positive
phân_giải_màn_hình tuyệt_vời,positive
xịn đóng_gói cẩn_thận giá tốt,positive
hàng mới không_chuẩn chất_lượng,positive
giao_hàng nhanh_chóng,positive
tính_năng đột_phá yêu cổng usbc lựa tuyệt_vời giao_hàng nhanh_chóng,positive
